Clust,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
0,49921.633640552995,89.90322580645162,1.1221198156682028,1.0195852534562213,1.0011520737327189,3467.0748847926266,6.913594470046083,243.83410138248848,0.728110599078341,5567.925115207373,0.0
1,108317.38737623762,198.33663366336634,3.9158415841584158,1.0012376237623761,1.025990099009901,45609.65717821782,20.201732673267326,713.7289603960396,2.142326732673267,4863.439356435643,1.0
2,118297.32524271845,73.46763754045307,3.5841423948220066,1.0016181229773462,1.022653721682848,31384.393203883494,17.233009708737864,224.10032362459546,0.627831715210356,4419.553398058252,0.0
3,33097.301356589145,94.13178294573643,1.070736434108527,1.0164728682170543,1.0067829457364341,3244.5203488372094,6.1734496124031,212.85077519379846,0.6036821705426356,1992.4021317829458,0.0
4,83529.1530460624,290.45319465081724,1.1560178306092124,1.0326894502228827,1.0089153046062407,8850.395245170877,10.476968796433878,1030.112927191679,3.148588410104012,4338.867756315008,1.0
